소속 ,국회 ,직위 ,국회의원 ,성명 ,김세연 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"63,130",0,"9,480","53,650",,,
,,,,,,,
본인 ,자동차 ,"2015년식 올뉴카니발하이리무진 배기량(2,199cc) ","32,680",0,"5,140","27,540",가액변동 
,,,,,,,
본인 ,자동차 ,"2016년식 K7하이브리드 배기량(2,359cc) ","30,450",0,"4,340","26,110",가액변동 
,,,,,,,
▶ 예금(소계) ,"301,292","33,731","42,760","292,263",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 16, 미래에셋생명보험 1,894, 신한은행 856(2,028 감소), 삼성생명보험 29,361, 우리은행 722(215 감소), NH투자증권 28(1 감소), 농협은행 0(3,688 감소), (주)KEB하나은행 7,906(7,819 감소), 농협중앙회 9,405(6,330 감소) ","70,269",471,"20,552","50,188",부동산매각대금으로 채무 상환 및세금납부 
,,,,,,,
배우자 ,,"(주)KEB하나은행 29,895(13,814 증가), 흥국생명보험 18,000(2,400 증가), 신한은행 7,281(921 감소), 동양생명보험 56,428(7,456 증가), 중소기업은행 0(976 감소), 씨티은행 35,334(1,241 감소), 우리은행 492, 신한생명보험 9,996(844 증가) ","136,050","33,260","11,884","157,426",
,,,,,,,
장녀 ,,"미래에셋대우(주) 7,651(1,892 감소), 씨티은행 14,900(1,620 감소), 신한은행 11,453 ","37,516",0,"3,512","34,004",
,,,,,,,
장남 ,,"신한은행 5,062, 씨티은행 14,859(1,601 감소), 미래에셋대우(주) 5,412(1,805 감소) ","28,739",0,"3,406","25,333",
,,,,,,,
차남 ,,"미래에셋대우(주) 5,412(1,805 감소), 씨티은행 14,859(1,601 감소), 신한은행 5,041 ","28,718",0,"3,406","25,312",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"10,016","16,618",0,"26,634",,,
,,,,,,,
본인 ,,"농협은행 26,634(16,618 증가) ","10,016","16,618",0,"26,634",수입증가 
,,,,,,,
▶ 유가증권(소계) ,"87,789,160","50,000","13,812,396","74,026,764",,,
,,,,,,,
본인 ,상장주식 ,"DRB동일 9,297,720주(237,130주 증가), 동일고무벨트 2,051,141주(56,806주 증가) ","87,789,160",0,"13,812,396","73,976,764","평가액변동, 주식배당, 증권매입 "
,,,,,,,
본인 ,비상장주식 ,"스리체어스 100,000주(100,000주 증가) ",0,"50,000",0,"50,000",
,,,,,,,
▶ 채권(소계) ,"135,088","3,972","8,918","130,142",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"135,088","3,972","8,918","130,142",임대료미수금 변동 
,,,,,,,
▶ 채무(소계) ,"2,706,559","5,689,292","9,000","8,386,851",,,
,,,,,,,
본인 ,금융기관채무 ,"(주)KEB하나은행 6,711,851(5,567,792 증가) ","1,144,059","5,567,792",0,"6,711,851",부동산매입 
,,,,,,,
본인 ,건물임대채무 ,부산광역시 동래구 칠산동 임대보증금 증가 ,"112,500","121,500","9,000","225,000",임대보증금증가 및 임대계약해지/신규계약 
,,,,,,,
본인 ,토지임대채무 ,부산광역시 동래구 수안동 108-5번지 임대보증금 ,"1,450,000",0,0,"1,450,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"91,300","2,500",0,"93,800",,,
,,,,,,,
본인 ,헬스 ,Marriott Soo Fitness&spa ,"23,800",- ,- ,"23,800",가액변동없음 
,,,,,,,
배우자 ,헬스 ,BANYAN TREE 클럽 증가 ,"67,500","2,500",0,"70,000",가액변동 
,,,,,,,
▶ 비영리법인에 출연한 재산 ,,,,,,,
,,,,,,,
본인 ,출연 ,"(재)고촌장학재단, 출연재산: 341,211천원, 보유직위: 없음 ",- ,- ,- ,- ,가액변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"112,377,395","-1,514,234","14,167,845","96,695,316","증 감 액 : -15,682,079천원 (가액변동: 2,134,335천원) ",,
,,,,,,,
