소속 ,국회 ,직위 ,국회의원 ,성명 ,홍일표 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
본인 ,건물임대채무 ,경기도 고양시 일산동구 풍동 신성프라자 임대보증금 ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 도봉구 쌍문동 엘지트윈빌1 제1층 임대보증금 ,"25,000",0,0,"25,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,인천광역시 남구 주안동 더월드스테이트 아파트 임대보증금 ,"260,000",0,0,"260,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"중소기업은행 50,000 ","50,000",0,0,"50,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"54,000","7,000",0,"61,000",,,
,,,,,,,
본인 ,골프 ,국제컨트리클럽 증가 ,"54,000","7,000",0,"61,000",가액변동 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"4,870,857","1,429,988","1,232,024","5,068,821","증 감 액 : 197,964천원 (가액변동: 219,009천원) ",,
,,,,,,,
