소속 ,국회 ,직위 ,국회부의장 ,성명 ,주승용 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 유가증권(소계) ,"80,000","20,000",0,"100,000",,,
,,,,,,,
본인 ,비상장주식 ,"화성산업 6,400주(400주 증가) ","60,000","4,000",0,"64,000",신규 배당 
,,,,,,,
배우자 ,비상장주식 ,"화성산업 2,400주(400주 증가) ","20,000","4,000",0,"24,000",
,,,,,,,
장녀 ,비상장주식 ,화성산업 400주(400주 증가) ,0,"4,000",0,"4,000",
,,,,,,,
차녀 ,비상장주식 ,화성산업 400주(400주 증가) ,0,"4,000",0,"4,000",
,,,,,,,
장남 ,비상장주식 ,화성산업 400주(400주 증가) ,0,"4,000",0,"4,000",
,,,,,,,
▶ 채권(소계) ,"150,000","100,000",0,"250,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,"150,000","100,000",0,"250,000",추가채권증가 
,,,,,,,
▶ 채무(소계) ,"1,020,000","812,113",0,"1,832,113",,,
,,,,,,,
본인 ,건물임대채무 ,전라남도 여수시 소라면 덕양리 임대보증금 ,"950,000",0,0,"950,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,전라남도 여수시 중앙동 임대보증금 ,"70,000",0,0,"70,000",변동없음 
,,,,,,,
장녀 ,금융기관채무 ,"토요타파이낸셜서비스코리아(주) 6,312(6,312 증가), 신한은행 5,801(5,801 증가) ",0,"12,113",0,"12,113",생활비등지출 
,,,,,,,
장남 ,금융기관채무 ,"우리은행 800,000(800,000 증가) ",0,"800,000",0,"800,000",전세보증금 
,,,,,,,
총계 ,"6,760,676","826,314","567,445","7,019,545","증 감 액 : 258,869천원 (가액변동: 360,067천원) ",,
,,,,,,,
